Start Date,End Date,Event Name,Category (CD / CD Classic / Raid / Mega / Shadow Raid / Spotlight / Research / Other)
,,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
,,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
,,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
,,"Mega Steelix, Scizor, and Lucario in Mega Raids",Raid/Mega
,,Steel Skyline,Event/News
,,Steel Skyline,Event/News
,,Steel Skyline,Event/News
,,Steel Skyline,Event/News
,,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
,,Great League and Fantasy Cup: Great League Edition | Tales of Transformation,Event/News
,,Aron Spotlight Hour,Spotlight
,,Aron Spotlight Hour,Spotlight
,,Aron Spotlight Hour,Spotlight
,,Aron Spotlight Hour,Spotlight
,,Dialga (Origin Forme) Raid Hour,Raid/Mega
,,Dialga (Origin Forme) Raid Hour,Raid/Mega
,,Dialga (Origin Forme) Raid Hour,Raid/Mega
,,Dialga (Origin Forme) Raid Hour,Raid/Mega
,,Mega Metagross Raid Day,Raid/Mega
,,Mega Metagross Raid Day,Raid/Mega
,,Mega Metagross Raid Day,Raid/Mega
,,Mega Metagross Raid Day,Raid/Mega
,,Dynamax Drilbur during Max Monday,Event/News
,,Dynamax Drilbur during Max Monday,Event/News
,,Dynamax Drilbur during Max Monday,Event/News
,,Dynamax Drilbur during Max Monday,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ultra League and Jungle Cup: Great League Edition | Tales of Transformation,Event/News
,,Ferroseed Spotlight Hour,Spotlight
,,Ferroseed Spotlight Hour,Spotlight
,,Ferroseed Spotlight Hour,Spotlight
,,Ferroseed Spotlight Hour,Spotlight
,,Harvest Festival,Event/News
,,Harvest Festival,Event/News
,,Harvest Festival,Event/News
,,Harvest Festival,Event/News
,,Solosis Community Day,Community Day
,,Solosis Community Day,Community Day
,,Solosis Community Day,Community Day
